Gene_ID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000046070,1,0,1,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3
ENSMUSG00000046079,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,2,0,3,1,0,1,0,1
ENSMUSG00000046080,103,121,159,67,26,72,141,106,90,33,142,153,121,112,83,116,66,148,133,139,95,155,134
ENSMUSG00000046082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046085,153,183,207,92,93,163,221,60,58,50,98,186,189,24,194,195,104,146,27,54,84,227,205
ENSMUSG00000046088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046093,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000046095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046096,0,2,3,0,0,0,1,0,3,0,0,6,1,0,1,2,0,1,0,1,1,3,0
ENSMUSG00000046101,15,32,4,14,148,10,6,23,46,188,2,5,13,116,18,34,33,6,45,28,7,10,15
ENSMUSG00000046108,0,0,2,0,0,0,6,0,1,0,0,0,2,0,0,0,1,5,0,0,0,3,0
ENSMUSG00000046109,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ENSMUSG00000046110,2948,3194,3155,1834,674,1629,3393,1517,1575,484,1991,3297,3295,466,2802,3069,1234,2604,1153,2331,1946,5164,3658
ENSMUSG00000046111,29,10,15,9,12,7,18,22,12,31,6,8,8,96,11,14,6,18,11,27,12,15,10
ENSMUSG00000046119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046138,3,4,4,0,1,0,1,0,1,0,0,1,2,0,0,0,3,7,0,0,1,1,0
ENSMUSG00000046139,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,5,0,0,0,0,0
ENSMUSG00000046145,7,19,35,13,1,20,35,12,24,5,18,29,18,8,24,18,9,38,7,28,19,32,12
ENSMUSG00000046150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046157,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000046168,16,9,14,9,4,8,17,15,22,35,22,9,17,14,15,12,4,11,10,11,3,17,14
ENSMUSG00000046169,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046179,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000046180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046182,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,3,1,0,0,0
ENSMUSG00000046185,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000046186,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046201,2,6,7,4,0,3,6,1,0,0,2,8,4,0,2,7,0,15,0,1,0,10,4
ENSMUSG00000046203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
