"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000045671",2.74440548589668e-05,152.44594054058,0.238,0.083,0.0548881097179336
"ENSMUSG00000044352",2.74440548589668e-05,16.0602690201852,0.238,0.083,0.0548881097179336
"ENSMUSG00000031214",2.74440548589668e-05,9.70802868801127,0.238,0.083,0.0548881097179336
"ENSMUSG00000000693",2.7582968687082e-05,-0.576707528946847,0,0.833,0.055165937374164
"ENSMUSG00000026663",2.78704764590813e-05,92.3527938119625,0.143,1,0.0557409529181627
"ENSMUSG00000043635",2.78704764590813e-05,-7.42131252181883,0.143,1,0.0557409529181627
"ENSMUSG00000027998",2.78704764590813e-05,-296.631635124256,0.143,1,0.0557409529181627
"ENSMUSG00000028494",2.8346506036595e-05,-138.725840768697,0.286,1,0.05669301207319
"ENSMUSG00000047635",2.84726145663916e-05,225.993981233895,0.333,0.083,0.0569452291327832
"ENSMUSG00000022528",2.94786425993613e-05,293.849598597063,0.571,1,0.0589572851987226
"ENSMUSG00000055148",3.07308853568771e-05,205.920732459684,0.19,1,0.0614617707137542
"ENSMUSG00000021760",3.07308853568771e-05,-75.0603941299595,0.19,1,0.0614617707137542
"ENSMUSG00000090394",3.24648974051548e-05,-0.423023197960278,0,0.667,0.0649297948103097
"ENSMUSG00000067818",3.26785231712466e-05,-2.73462119201224,0.238,1,0.0653570463424932
"ENSMUSG00000025616",3.26785231712466e-05,-43.4652072225335,0.238,1,0.0653570463424932
"ENSMUSG00000052783",3.26785231712466e-05,-58.8708781929188,0.238,0.083,0.0653570463424932
"ENSMUSG00000048410",3.26785231712466e-05,-175.225429644396,0.238,0.083,0.0653570463424932
"ENSMUSG00000029036",3.26785231712466e-05,-253.280875365985,0.238,0.083,0.0653570463424932
"ENSMUSG00000039263",3.33459779391152e-05,474.69883931424,0.143,1,0.0666919558782305
"ENSMUSG00000060012",3.33459779391152e-05,425.733520113578,0.143,1,0.0666919558782305
"ENSMUSG00000038225",3.33459779391152e-05,396.558300546302,0.143,1,0.0666919558782305
"ENSMUSG00000022747",3.33459779391152e-05,388.967141085631,0.143,1,0.0666919558782305
"ENSMUSG00000034353",3.33459779391152e-05,214.122200488171,0.143,1,0.0666919558782305
"ENSMUSG00000031652",3.33459779391152e-05,176.089987790026,0.143,1,0.0666919558782305
"ENSMUSG00000017667",3.33459779391152e-05,148.625407811754,0.143,1,0.0666919558782305
"ENSMUSG00000049097",3.33459779391152e-05,129.303932998321,0.143,1,0.0666919558782305
"ENSMUSG00000018209",3.33459779391152e-05,122.919346181272,0.143,1,0.0666919558782305
"ENSMUSG00000020096",3.33459779391152e-05,103.68104715135,0.143,1,0.0666919558782305
"ENSMUSG00000016200",3.33459779391152e-05,73.226701413525,0.143,1,0.0666919558782305
"ENSMUSG00000030671",3.33459779391152e-05,61.702011622133,0.143,1,0.0666919558782305
"ENSMUSG00000022360",3.33459779391152e-05,1.45837844239642,0.143,1,0.0666919558782305
"ENSMUSG00000025475",3.36786055025572e-05,186.068803086164,0.286,0.083,0.0673572110051145
"ENSMUSG00000035877",3.36786055025572e-05,69.3404289807012,0.286,0.083,0.0673572110051145
"ENSMUSG00000097311",3.36786055025572e-05,44.182401917787,0.286,0.083,0.0673572110051145
"ENSMUSG00000031791",3.66391932695267e-05,42.9259850956204,0.19,1,0.0732783865390535
"ENSMUSG00000000838",3.74269032964507e-05,193.637345326579,0.429,0.083,0.0748538065929013
"ENSMUSG00000018347",3.98335263842073e-05,11.0971164539473,0.143,1,0.0796670527684146
"ENSMUSG00000047617",3.99546413398766e-05,-21.7163223377379,0.286,0.083,0.0799092826797533
"ENSMUSG00000029447",3.99546413398766e-05,-54.8365216870555,0.286,1,0.0799092826797533
"ENSMUSG00000057110",3.99546413398766e-05,-90.9118952462999,0.286,0.917,0.0799092826797533
"ENSMUSG00000029364",3.99546413398766e-05,-126.023979942282,0.286,0.083,0.0799092826797533
"ENSMUSG00000069833",4.1828517213752e-05,-25.2397693653865,0.095,0.917,0.083657034427504
"ENSMUSG00000039943",4.36157913253442e-05,213.481598702468,0.19,1,0.0872315826506884
"ENSMUSG00000053297",4.36157913253442e-05,201.918586196216,0.19,1,0.0872315826506884
"ENSMUSG00000050234",4.36157913253442e-05,112.101180488264,0.19,1,0.0872315826506884
"ENSMUSG00000028300",4.36157913253442e-05,66.0640285389186,0.19,1,0.0872315826506884
"ENSMUSG00000034707",4.36157913253442e-05,37.6054164188406,0.19,1,0.0872315826506884
"ENSMUSG00000020072",4.510461289521e-05,-6.85346766108004,0.667,1,0.09020922579042
"ENSMUSG00000041408",4.61235899450327e-05,32.1058730376424,0.238,1,0.0922471798900655
"ENSMUSG00000030051",4.73065639602336e-05,-76.5933566688363,0.333,0.083,0.0946131279204672
"ENSMUSG00000037474",4.75073470404601e-05,129.707517791758,0.143,1,0.0950146940809203
"ENSMUSG00000038059",5.18404916650868e-05,126.582442813533,0.19,1,0.103680983330174
"ENSMUSG00000075419",5.18404916650868e-05,122.012699354752,0.19,1,0.103680983330174
"ENSMUSG00000029458",5.30481581451763e-05,158.75826566149,0.524,0.083,0.106096316290353
"ENSMUSG00000060098",5.44916011373201e-05,-14.8542820897271,0.381,0.083,0.10898320227464
"ENSMUSG00000051098",5.44916011373201e-05,-86.2778497158684,0.381,0.083,0.10898320227464
"ENSMUSG00000031762",5.46727045554931e-05,320.510547645286,0.238,1,0.109345409110986
"ENSMUSG00000033149",5.46727045554931e-05,206.90799637509,0.238,1,0.109345409110986
"ENSMUSG00000030770",5.46727045554931e-05,50.2817820302323,0.238,1,0.109345409110986
"ENSMUSG00000019873",5.46727045554931e-05,48.3954815677913,0.238,1,0.109345409110986
"ENSMUSG00000051736",5.46727045554931e-05,40.3132860198883,0.238,1,0.109345409110986
"ENSMUSG00000024048",5.46727045554931e-05,18.3003135428615,0.238,1,0.109345409110986
"ENSMUSG00000025935",5.46727045554931e-05,-61.0044594765375,0.238,1,0.109345409110986
"ENSMUSG00000022558",5.59849108339855e-05,305.139052842185,0.286,1,0.111969821667971
"ENSMUSG00000038876",5.65691996552871e-05,93.0991775242807,0.143,1,0.113138399310574
"ENSMUSG00000020166",5.65691996552871e-05,31.6591493051579,0.143,1,0.113138399310574
"ENSMUSG00000021981",5.65691996552871e-05,15.4604580545226,0.143,1,0.113138399310574
"ENSMUSG00000001418",5.7490606270433e-05,49.0350095192008,0.476,1,0.114981212540866
"ENSMUSG00000070348",5.97110605507861e-05,-27.6252129520177,0.095,0.917,0.119422121101572
"ENSMUSG00000070737",6.06690630633008e-05,-35.6898639150566,0.048,0.917,0.121338126126602
"ENSMUSG00000044224",6.06690630633008e-05,-63.1531688150435,0.048,0.917,0.121338126126602
"ENSMUSG00000029344",6.15208685061335e-05,-145.108729562525,0.19,1,0.123041737012267
"ENSMUSG00000031765",6.47088057981475e-05,424.930819796293,0.238,1,0.129417611596295
"ENSMUSG00000016757",6.7252284107944e-05,42.9495084704263,0.143,1,0.134504568215888
"ENSMUSG00000042066",6.7252284107944e-05,8.21312055413577,0.143,1,0.134504568215888
"ENSMUSG00000053199",6.75514366708651e-05,-36.3619928363185,0.476,0.083,0.13510287334173
"ENSMUSG00000040606",6.75514366708651e-05,-234.060066922171,0.476,0.083,0.13510287334173
"ENSMUSG00000029231",7.20512165284997e-05,-2.37799555272659,0.429,1,0.144102433056999
"ENSMUSG00000053897",7.25521396431899e-05,191.332027190382,0.048,0.917,0.14510427928638
"ENSMUSG00000021585",7.25521396431899e-05,129.838602972874,0.048,0.917,0.14510427928638
"ENSMUSG00000028950",7.25521396431899e-05,125.412997317895,0.048,0.917,0.14510427928638
"ENSMUSG00000036381",7.25521396431899e-05,38.5071804663658,0.048,0.917,0.14510427928638
"ENSMUSG00000041828",7.25521396431899e-05,35.2164483034934,0.048,0.917,0.14510427928638
"ENSMUSG00000035314",7.25521396431899e-05,31.5312219162817,0.048,0.917,0.14510427928638
"ENSMUSG00000027082",7.25521396431899e-05,24.0032564283991,0.048,0.917,0.14510427928638
"ENSMUSG00000027109",7.25521396431899e-05,12.1367193513732,0.048,0.917,0.14510427928638
"ENSMUSG00000030341",7.25521396431899e-05,3.80461678481826,0.048,0.917,0.14510427928638
"ENSMUSG00000025492",7.75818494465382e-05,11.624997179379,0.333,1,0.155163698893076
"ENSMUSG00000039620",7.98256237389231e-05,200.34880043862,0.143,1,0.159651247477846
"ENSMUSG00000102179",8.62412672705696e-05,220.350430596488,0.19,1,0.172482534541139
"ENSMUSG00000021756",8.62412672705696e-05,204.260822405528,0.19,1,0.172482534541139
"ENSMUSG00000022231",8.62412672705696e-05,172.210661410803,0.19,1,0.172482534541139
"ENSMUSG00000058135",8.62412672705696e-05,8.75441635754214,0.19,1,0.172482534541139
"ENSMUSG00000020642",9.02375084752748e-05,113.123658623371,0.238,1,0.18047501695055
"ENSMUSG00000032425",9.02375084752748e-05,39.6571937253583,0.238,1,0.18047501695055
"ENSMUSG00000044258",9.18390148369954e-05,-10.1151488077034,0.286,1,0.183678029673991
"ENSMUSG00000086049",9.45752971128864e-05,291.756881944663,0.095,0.917,0.189150594225773
"ENSMUSG00000062931",9.45989724864321e-05,35.4913870197273,0.143,1,0.189197944972864
"ENSMUSG00000025351",0.000100256166455863,16.9919795761717,0.524,1,0.200512332911727
"ENSMUSG00000035910",0.000100590228381965,313.162227081959,0.095,0.917,0.20118045676393
"ENSMUSG00000002233",0.000100590228381965,18.718853337218,0.095,0.917,0.20118045676393
"ENSMUSG00000043496",0.000100590228381965,14.4647991034265,0.095,0.917,0.20118045676393
"ENSMUSG00000006641",0.000100590228381965,4.78270609252518,0.095,0.917,0.20118045676393
"ENSMUSG00000040865",0.000100590228381965,-47.2324171519258,0.095,0.917,0.20118045676393
"ENSMUSG00000068523",0.000101872153408075,-3.34517267183935,0.19,1,0.20374430681615
"ENSMUSG00000031503",0.000106617416299981,40.1133023481714,0.571,1,0.213234832599962
"ENSMUSG00000021411",0.00011192829448213,108.901882920867,0.143,1,0.22385658896426
"ENSMUSG00000021025",0.00011192829448213,-45.0027076272449,0.143,1,0.22385658896426
"ENSMUSG00000074182",0.00011192829448213,-101.931775333638,0.143,1,0.22385658896426
"ENSMUSG00000026678",0.000121841296134836,-8.82896087752104,0.381,1,0.243682592269673
"ENSMUSG00000048583",0.000124439245809853,532.594303748503,0.571,1,0.248878491619706
"ENSMUSG00000034796",0.000125082982048983,160.276658214818,0.238,1,0.250165964097966
"ENSMUSG00000024858",0.000125082982048983,25.4421534313325,0.238,1,0.250165964097966
"ENSMUSG00000078515",0.000125082982048983,6.39519005453432,0.238,1,0.250165964097966
"ENSMUSG00000034327",0.000132221867137415,19.0939665086117,0.143,1,0.26444373427483
"ENSMUSG00000031090",0.000132898514757896,-0.602075042375048,0,0.583,0.265797029515791
"ENSMUSG00000021103",0.000141247740468726,36.2173839865818,0.095,0.917,0.282495480937451
"ENSMUSG00000027306",0.000141247740468726,-5.88401294124549,0.095,0.917,0.282495480937451
